operation,start_ns,end_ns,duration_ns,label
secret_dependent_routine,382156544673100,382156544674100,1000,before
secret_dependent_routine,382156544675800,382156544691800,16000,before
secret_dependent_routine,382156544693800,382156544694700,900,before
secret_dependent_routine,382156544696500,382156544710900,14400,before
secret_dependent_routine,382156544712400,382156544713300,900,before
secret_dependent_routine,382156544717700,382156544731800,14100,before
secret_dependent_routine,382156544733700,382156544734600,900,before
secret_dependent_routine,382156544736400,382156544750200,13800,before
secret_dependent_routine,382156544751900,382156544752700,800,before
secret_dependent_routine,382156544754100,382156544767700,13600,before
secret_dependent_routine,382156544769200,382156544770100,900,before
secret_dependent_routine,382156544771800,382156544785400,13600,before
secret_dependent_routine,382156544787600,382156544788500,900,before
secret_dependent_routine,382156544790000,382156544803500,13500,before
secret_dependent_routine,382156544805300,382156544806200,900,before
secret_dependent_routine,382156544807600,382156544821500,13900,before
secret_dependent_routine,382156544823300,382156544826100,2800,before
secret_dependent_routine,382156544827700,382156544841400,13700,before
secret_dependent_routine,382156544843000,382156544844500,1500,before
secret_dependent_routine,382156544846100,382156544860100,14000,before
secret_dependent_routine,382156544862100,382156544931700,69600,before
secret_dependent_routine,382156544934900,382156544950200,15300,before
secret_dependent_routine,382156544951900,382156544952700,800,before
secret_dependent_routine,382156544954100,382156544967200,13100,before
secret_dependent_routine,382156544968600,382156544969500,900,before
secret_dependent_routine,382156544970900,382156544984800,13900,before
secret_dependent_routine,382156544988300,382156544989600,1300,before
secret_dependent_routine,382156544991100,382156545005800,14700,before
secret_dependent_routine,382156545007700,382156545008500,800,before
secret_dependent_routine,382156545010100,382156545024100,14000,before
secret_dependent_routine,382156545025700,382156545026600,900,before
secret_dependent_routine,382156545027900,382156545041900,14000,before
secret_dependent_routine,382156545043800,382156545045000,1200,before
secret_dependent_routine,382156545049500,382156545064100,14600,before
secret_dependent_routine,382156545071000,382156545072100,1100,before
secret_dependent_routine,382156545073800,382156545089800,16000,before
secret_dependent_routine,382156545092000,382156545093100,1100,before
secret_dependent_routine,382156545094700,382156545110700,16000,before
secret_dependent_routine,382156545112500,382156545113600,1100,before
secret_dependent_routine,382156545115500,382156545132000,16500,before
secret_dependent_routine,382156545133700,382156545134700,1000,before
secret_dependent_routine,382156545141200,382156545157200,16000,before
secret_dependent_routine,382156545159500,382156545160500,1000,before
secret_dependent_routine,382156545162100,382156545179400,17300,before
secret_dependent_routine,382156545181300,382156545182200,900,before
secret_dependent_routine,382156545183700,382156545201600,17900,before
secret_dependent_routine,382156545203400,382156545209200,5800,before
secret_dependent_routine,382156545210900,382156545229500,18600,before
secret_dependent_routine,382156545231500,382156545232600,1100,before
secret_dependent_routine,382156545234500,382156545252800,18300,before
secret_dependent_routine,382156545254600,382156545255700,1100,before
secret_dependent_routine,382156545257600,382156545276400,18800,before
secret_dependent_routine,382156545278500,382156545279600,1100,before
secret_dependent_routine,382156545281300,382156545300100,18800,before
secret_dependent_routine,382156545302200,382156545303200,1000,before
secret_dependent_routine,382156545304900,382156545324000,19100,before
secret_dependent_routine,382156545325800,382156545326800,1000,before
secret_dependent_routine,382156545328600,382156545347600,19000,before
secret_dependent_routine,382156545349800,382156545350900,1100,before
secret_dependent_routine,382156545352600,382156545372200,19600,before
secret_dependent_routine,382156545374400,382156545375400,1000,before
secret_dependent_routine,382156545377100,382156545394200,17100,before
secret_dependent_routine,382156545396200,382156545397600,1400,before
secret_dependent_routine,382156545399400,382156545416800,17400,before
secret_dependent_routine,382156545418500,382156545419500,1000,before
